Date,pm2.5,DEWP,TEMP,PRES,Iws,Is,Ir,cny
1/3/2010,36,-19,-14,2047,129.62,17,0,0
1/10/2010,63,-138,-64,7222,267.75,0,0,0
1/17/2010,71,-122,-45,7219,436.7,0,0,0
1/24/2010,83,-102,-3,7199,252.58,0,0,0
1/31/2010,52,-135,18,7169,488.09,0,0,0
2/7/2010,65,-105,-10,7196,54.99,0,0,1
2/14/2010,48,-134,-5,7211,111.3,0,0,1
2/21/2010,57,-129,25,7163,146.62,0,0,1
2/28/2010,133,-48,28,7113,109.94,0,0,1
3/7/2010,90,-81,13,7184,221.3,0,0,1
3/14/2010,64,-80,22,7176,214.57,19,0,0
3/21/2010,104,-63,38,7121,225.75,0,0,0
3/28/2010,74,-88,71,7158,167.17,0,0,0
4/4/2010,110,-49,88,7125,260.59,0,2,0
4/11/2010,96,-25,91,7116,284.29,0,0,0
4/18/2010,145,-39,75,7145,468.94,0,0,0
4/25/2010,66,19,117,7130,263.74,0,15,0
5/2/2010,36,-47,134,7070,753.72,0,0,0
5/9/2010,138,32,164,7032,173.89,0,0,0
5/16/2010,93,44,159,7096,137.69,0,0,0
5/23/2010,89,66,187,7029,76.45,0,0,0
5/30/2010,70,81,185,7067,73.75,0,2,0
6/6/2010,120,93,180,7107,26.33,0,0,0
6/13/2010,100,107,186,7082,84.05,0,0,0
6/20/2010,75,117,193,7027,16.99,0,3,0
6/27/2010,108,101,207,7046,39.79,0,0,0
7/4/2010,114,133,214,7008,16.97,0,4,0
7/11/2010,64,100,217,7027,117.17,0,1,0
7/18/2010,161,154,193,7050,25.05,0,1,0
7/25/2010,142,160,219,7054,104.63,0,0,0
8/1/2010,162,165,220,7019,129.65,0,0,0
8/8/2010,86,116,195,7055,91.21,0,2,0
8/15/2010,150,114,214,7024,108.62,0,1,0
8/22/2010,113,132,200,7078,81.82,0,8,0
8/29/2010,78,124,199,7087,56.77,0,0,0
9/5/2010,72,129,183,7086,77.32,0,1,0
9/12/2010,94,93,200,7081,63.91,0,0,0
9/19/2010,150,116,167,7090,109.08,0,19,0
9/26/2010,152,57,139,7131,46.05,0,7,0
10/3/2010,151,37,140,7128,289.24,0,0,0
10/10/2010,255,83,146,7100,17.84,0,0,0
10/17/2010,42,14,119,7143,166.27,0,0,0
10/24/2010,111,49,73,7170,47.39,0,12,0
10/31/2010,39,-31,94,7208,163.62,0,0,0
11/7/2010,72,-21,104,7154,74.63,0,0,0
11/14/2010,46,-50,37,7150,575.33,0,0,0
11/21/2010,208,-27,45,7140,601.95,0,0,0
11/28/2010,100,-97,36,7152,225.75,0,0,0
12/5/2010,127,-53,28,7124,137.23,0,0,0
12/12/2010,64,-99,28,7119,345.06,0,0,0
12/19/2010,63,-143,1,7155,438.49,0,0,0
12/26/2010,106,-126,4,7165,232.47,0,0,0
1/2/2011,42,-125,-11,7170,970.49,0,0,0
1/9/2011,44,-124,-18,7225,923.04,0,0,0
1/16/2011,41,-145,-17,7208,451.05,0,0,0
1/23/2011,29,-140,-19,7220,309.35,0,0,1
1/30/2011,25,-143,-18,7260,278.07,0,0,1
2/6/2011,46,-107,34,7158,77.32,0,0,1
2/13/2011,94,-66,-2,7181,154.7,14,0,1
2/20/2011,169,-75,19,7189,43.8,0,0,1
2/27/2011,200,-41,25,7172,44.68,7,0,0
3/6/2011,35,-95,47,7174,251.67,0,0,0
3/13/2011,66,-84,81,7137,102.38,0,0,0
3/20/2011,65,-80,68,7150,386.69,0,0,0
3/27/2011,27,-117,73,7186,485.47,0,0,0
4/3/2011,95,-52,105,7173,147.53,0,0,0
4/10/2011,138,-55,128,7137,123.82,0,0,0
4/17/2011,115,-35,153,7090,141.25,0,0,0
4/24/2011,71,-2,126,7097,207.44,0,4,0
5/1/2011,92,10,141,7030,276.26,0,0,0
5/8/2011,51,12,152,7062,169.85,0,0,0
5/15/2011,48,5,178,7059,325.41,0,0,0
5/22/2011,90,28,172,7062,177.49,0,0,0
5/29/2011,111,85,190,7082,393.83,0,0,0
6/5/2011,53,59,211,7033,126.5,0,0,0
6/12/2011,87,104,215,7007,45.59,0,0,0
6/19/2011,142,130,200,7041,40.68,0,0,0
6/26/2011,120,119,201,7029,51.85,0,0,0
7/3/2011,100,138,197,7015,24.59,0,0,0
7/10/2011,69,116,216,7008,115.77,0,0,0
7/17/2011,123,151,202,7045,22.34,0,0,0
7/24/2011,161,165,195,7022,78.68,0,0,0
7/31/2011,65,159,200,7018,35.32,0,5,0
8/7/2011,89,156,208,7041,48.73,0,0,0
8/14/2011,135,166,219,7023,47.42,0,0,0
8/21/2011,68,147,199,7059,29.96,0,3,0
8/28/2011,100,144,191,7091,49.17,0,0,0
9/4/2011,101,139,194,7074,26.38,0,0,0
9/11/2011,89,98,160,7108,66.61,0,10,0
9/18/2011,94,83,150,7111,67.06,0,0,0
9/25/2011,87,55,170,7123,130.53,0,0,0
10/2/2011,132,35,149,7150,118.91,0,0,0
10/9/2011,108,50,148,7133,31.75,0,0,0
10/16/2011,64,37,141,7109,157.33,0,0,0
10/23/2011,148,59,115,7152,33.96,0,7,0
10/30/2011,158,16,92,7174,19.22,0,1,0
11/6/2011,96,38,100,7180,18.77,0,0,0
11/13/2011,40,-27,96,7157,88.95,0,0,0
11/20/2011,98,-17,64,7167,105.96,0,12,0
11/27/2011,138,-44,41,7178,281.13,0,0,0
12/4/2011,88,-58,25,7206,41.53,6,0,0
12/11/2011,88,-66,19,7225,235.12,3,0,0
12/18/2011,54,-107,6,7226,412.64,0,0,0
12/25/2011,45,-122,20,7205,156.91,0,0,0
1/1/2012,89,-89,3,7229,82.68,0,0,0
1/8/2012,87,-93,-10,7229,277.63,13,0,0
1/15/2012,101,-98,11,7202,101.02,0,0,0
1/22/2012,176,-103,-17,7204,86.27,0,0,1
1/29/2012,42,-133,-7,7191,83.54,0,0,1
2/5/2012,51,-142,-15,7197,112.19,8,0,1
2/12/2012,42,-142,1,7194,170.75,0,0,1
2/19/2012,61,-131,14,7198,332.6,0,0,1
2/26/2012,93,-103,20,7166,120.7,0,0,1
3/4/2012,214,-41,23,7173,104.17,9,0,0
3/11/2012,57,-106,32,7173,473.86,0,0,0
3/18/2012,118,-59,50,7152,34.43,0,0,0
3/25/2012,103,-44,75,7150,189.95,0,0,0
4/1/2012,61,-61,112,7138,345.1,0,0,0
4/8/2012,37,-76,117,7106,230.67,0,0,0
4/15/2012,58,-17,160,7067,216.83,0,0,0
4/22/2012,136,46,120,7081,148.4,0,0,0
4/29/2012,108,0,131,7045,224.4,0,7,0
5/6/2012,141,59,186,7063,29.96,0,0,0
5/13/2012,125,74,173,7067,125.6,0,4,0
5/20/2012,85,50,178,7053,176.59,0,0,0
5/27/2012,77,53,188,7072,55.44,0,0,0
6/3/2012,107,85,181,7084,99.69,0,0,0
6/10/2012,96,93,208,7009,42.92,0,0,0
6/17/2012,33,68,207,7008,23.69,0,0,0
6/24/2012,129,131,190,7020,94.34,0,1,0
7/1/2012,81,143,185,7043,60.39,0,9,0
7/8/2012,95,138,208,7005,45.61,0,0,0
7/15/2012,45,145,209,7004,16.98,0,0,0
7/22/2012,131,151,210,7039,152.95,0,2,0
7/29/2012,78,163,203,7031,106.41,0,0,0
8/5/2012,31,146,188,7055,47.84,0,17,0
8/12/2012,78,155,211,7045,27.23,0,0,0
8/19/2012,74,132,196,7056,37.56,0,0,0
8/26/2012,84,98,195,7088,33.07,0,0,0
9/2/2012,104,147,207,7055,92.09,0,0,0
9/9/2012,55,96,178,7107,68.36,0,0,0
9/16/2012,59,73,175,7108,88.04,0,0,0
9/23/2012,94,83,181,7083,20.07,0,0,0
9/30/2012,33,56,159,7126,213.24,0,0,0
10/7/2012,50,42,158,7125,63.92,0,0,0
10/14/2012,84,37,119,7117,155.11,0,0,0
10/21/2012,94,12,114,7129,140.47,0,2,0
10/28/2012,120,19,125,7123,57.21,0,0,0
11/4/2012,79,-9,81,7132,198.03,0,28,0
11/11/2012,53,-22,70,7139,594.08,0,5,0
11/18/2012,106,-56,44,7147,227.04,0,0,0
11/25/2012,64,-60,50,7155,45.58,0,0,0
12/2/2012,104,-104,11,7164,284.28,0,0,0
12/9/2012,35,-142,-11,7165,640.98,0,0,0
12/16/2012,153,-39,-6,7195,217.3,24,0,0
12/23/2012,74,-100,-23,7233,286.97,0,0,0
12/30/2012,22,-127,-40,7215,274.92,0,0,0
1/6/2013,41,-155,-33,7215,286.57,0,0,0
1/13/2013,197,-89,-18,7185,59.91,0,0,0
1/20/2013,158,-67,-7,7213,108.19,8,0,0
1/27/2013,156,-71,-9,7180,56.76,0,0,0
2/3/2013,228,-47,-8,7179,34.86,10,5,1
2/10/2013,49,-111,-16,7214,62.15,0,0,1
2/17/2013,106,-101,12,7181,81.34,0,0,1
2/24/2013,113,-108,20,7202,18.34,0,0,1
3/3/2013,92,-93,44,7166,90.31,3,0,1
3/10/2013,135,-77,94,7106,114.41,0,0,0
3/17/2013,180,-27,56,7145,44.25,0,9,0
3/24/2013,66,-67,45,7110,40.69,0,1,0
3/31/2013,134,-37,68,7132,124.31,0,0,0
4/7/2013,88,-22,96,7101,160.46,0,0,0
4/14/2013,39,-74,109,7097,841.75,0,0,0
4/21/2013,66,-28,99,7109,119.35,0,0,0
4/28/2013,105,9,134,7076,147.95,0,0,0
5/5/2013,74,2,165,7105,71.06,0,0,0
5/12/2013,93,41,182,7049,77.79,0,1,0
5/19/2013,89,52,174,7061,105.5,0,0,0
5/26/2013,73,49,189,7051,67.06,0,0,0
6/2/2013,82,65,186,7042,155.12,0,0,0
6/9/2013,127,112,151,7069,89.42,0,16,0
6/16/2013,110,109,183,7057,100.59,0,2,0
6/23/2013,35,102,209,7030,41.57,0,8,0
6/30/2013,148,139,188,7009,72.87,0,0,0
7/7/2013,48,126,224,6985,83.14,0,0,0
7/14/2013,63,153,190,7037,21.02,0,5,0
7/21/2013,79,138,204,7020,93.42,0,16,0
7/28/2013,41,120,211,7011,29.97,0,8,0
8/4/2013,61,136,210,7012,25.92,0,4,0
8/11/2013,77,148,218,7013,23.7,0,0,0
8/18/2013,60,137,220,7023,112.21,0,0,0
8/25/2013,60,110,211,7062,23.26,0,2,0
9/1/2013,35,80,194,7052,198.95,0,0,0
9/8/2013,59,92,174,7113,25.48,0,1,0
9/15/2013,71,82,178,7082,52.33,0,0,0
9/22/2013,80,100,167,7106,23.24,0,3,0
9/29/2013,102,30,138,7120,135.01,0,13,0
10/6/2013,120,67,137,7135,61.69,0,7,0
10/13/2013,52,29,142,7118,63.93,0,0,0
10/20/2013,74,-28,114,7186,106.4,0,0,0
10/27/2013,89,-29,110,7158,231.13,0,0,0
11/3/2013,147,-9,101,7175,118.45,0,0,0
11/10/2013,92,-68,96,7155,209.18,0,0,0
11/17/2013,49,-88,85,7151,163.15,0,0,0
11/24/2013,55,-95,67,7159,250.36,0,0,0
12/1/2013,21,-149,47,7156,804.17,0,0,0
12/8/2013,131,-81,62,7144,25.05,0,0,0
12/15/2013,30,-167,25,7172,304.41,0,0,0
12/22/2013,51,-136,5,7229,58.08,0,0,0
12/29/2013,98,-132,12,7205,797.49,0,0,0
1/5/2014,61,-101,43,7133,219.01,0,0,0
1/12/2014,64,-150,5,7218,88.06,0,0,0
1/19/2014,163,-110,12,7214,15.62,0,0,1
1/26/2014,88,-132,21,7180,238.26,0,0,1
2/2/2014,83,-94,30,7130,93.43,0,0,1
2/9/2014,57,-145,-4,7209,303.99,7,0,1
2/16/2014,159,-105,2,7215,89.84,0,0,1
2/23/2014,184,-70,18,7218,49.62,0,0,0
3/2/2014,228,-67,45,7182,58.09,0,0,0
3/9/2014,98,-125,45,7189,65.26,0,0,0
3/16/2014,84,-107,81,7139,15.64,0,0,0
3/23/2014,53,-89,120,7146,154.23,0,0,0
3/30/2014,202,10,134,7088,33.96,0,0,0
4/6/2014,80,-60,141,7119,109.54,0,0,0
4/13/2014,111,-13,145,7112,42.92,0,0,0
4/20/2014,110,30,129,7124,77.79,0,3,0
4/27/2014,86,33,161,7115,125.17,0,0,0
5/4/2014,100,6,163,7089,445.24,0,0,0
5/11/2014,62,22,130,7086,71.08,0,15,0
5/18/2014,68,32,181,7038,231.55,0,0,0
5/25/2014,111,87,193,7047,110.9,0,0,0
6/1/2014,49,64,233,7014,112.63,0,0,0
6/8/2014,39,92,193,7042,60.81,0,1,0
6/15/2014,41,101,206,7048,26.83,0,0,0
6/22/2014,79,123,185,7038,51.84,0,1,0
6/29/2014,46,108,219,7037,80.45,0,0,0
7/6/2014,134,146,206,7032,91.22,0,0,0
7/13/2014,31,101,229,7016,84.93,0,0,0
7/20/2014,86,142,221,7038,53.2,0,2,0
7/27/2014,58,127,217,7043,28.17,0,3,0
8/3/2014,119,151,218,7033,136.78,0,0,0
8/10/2014,39,114,206,7046,56.77,0,1,0
8/17/2014,29,110,203,7053,22.34,0,9,0
8/24/2014,74,127,208,7059,20.1,0,0,0
8/31/2014,61,106,201,7096,21.89,0,0,0
9/7/2014,92,124,186,7069,30.86,0,0,0
9/14/2014,47,86,178,7098,43.81,0,0,0
9/21/2014,62,76,163,7118,28.6,0,0,0
9/28/2014,79,105,148,7115,41.15,0,14,0
10/5/2014,52,55,124,7135,61.23,0,0,0
10/12/2014,188,62,132,7160,33.07,0,0,0
10/19/2014,86,6,137,7130,75.07,0,0,0
10/26/2014,164,33,106,7131,100.11,0,0,0
11/2/2014,79,-2,99,7172,217.22,0,0,0
11/9/2014,44,-42,92,7171,64.82,0,0,0
11/16/2014,35,-75,76,7172,340.21,0,0,0
11/23/2014,137,-34,63,7174,52.75,0,0,0
11/30/2014,119,-54,48,7152,86.24,0,0,0
12/7/2014,24,-152,8,7194,449.27,0,0,0
12/14/2014,83,-111,19,7210,141.23,0,0,0
12/21/2014,51,-116,9,7197,1016.49,0,0,0
12/28/2014,85,-85,33,7191,65.28,0,0,0
1/4/2015,17,-49,16,3065,184.15,0,0,0